Game,Genre,Original price,Discount,Final price,Link
Battlefield 1 ™,"FPS, Multiplayer, World War I, Shooter","₹ 2,499",-88%,₹ 299,https://store.steampowered.com/app/1238840/Battlefield_1/?snr=1_4_4__tab-Specials
Mass Effect™ Legendary Edition,"RPG, Story Rich, Choices Matter, Sci-fi","₹ 3,999",-25%,"₹ 2,999",https://store.steampowered.com/app/1328670/Mass_Effect_Legendary_Edition/?snr=1_4_4__tab-Specials
ARK: Survival Evolved,"Open World Survival Craft, Survival, Open World, Multiplayer",₹ 699,-67%,₹ 230,https://store.steampowered.com/app/346110/ARK_Survival_Evolved/?snr=1_4_4__tab-Specials
Days Gone,"Open World, Post-apocalyptic, Zombies, Singleplayer","₹ 2,999",-20%,"₹ 2,399",https://store.steampowered.com/app/1259420/Days_Gone/?snr=1_4_4__tab-Specials
Need for Speed™ Heat,"Racing, Open World, Multiplayer, Driving","₹ 4,499",-75%,"₹ 1,124",https://store.steampowered.com/app/1222680/Need_for_Speed_Heat/?snr=1_4_4__tab-Specials
Outer Wilds,"Exploration, Space, Adventure, Mystery",₹ 569,-40%,₹ 341,https://store.steampowered.com/app/753640/Outer_Wilds/?snr=1_4_4__tab-Specials
Borderlands 3: Super Deluxe Edition,"RPG, Action, FPS, Gore","₹ 2,960",-55%,"₹ 1,332",https://store.steampowered.com/sub/427289/?snr=1_4_4__tab-Specials
Borderlands 3,"RPG, Action, FPS, Looter Shooter","₹ 2,990",-67%,₹ 986,https://store.steampowered.com/app/397540/Borderlands_3/?snr=1_4_4__tab-Specials
DayZ,"Survival, Zombies, Multiplayer, Open World","₹ 2,799",-40%,"₹ 1,679",https://store.steampowered.com/app/221100/DayZ/?snr=1_4_4__tab-Specials
The Outer Worlds,"Action RPG, Open World, RPG, FPS","₹ 2,990",-67%,₹ 986,https://store.steampowered.com/app/578650/The_Outer_Worlds/?snr=1_4_4__tab-Specials
Rise of the Tomb Raider™,"Adventure, Action, Female Protagonist, Singleplayer",₹ 999,-80%,₹ 199,https://store.steampowered.com/app/391220/Rise_of_the_Tomb_Raider/?snr=1_4_4__tab-Specials
Planet Zoo,"Management, Simulation, Building, Nature","₹ 2,149",-55%,₹ 967,https://store.steampowered.com/app/703080/Planet_Zoo/?snr=1_4_4__tab-Specials
Golf With Your Friends,"Multiplayer, Casual, Mini Golf, Sports",₹ 459,-50%,₹ 229,https://store.steampowered.com/app/431240/Golf_With_Your_Friends/?snr=1_4_4__tab-Specials
Untitled Goose Game,"Funny, Indie, Villain Protagonist, Comedy",₹ 529,-50%,₹ 264,https://store.steampowered.com/app/837470/Untitled_Goose_Game/?snr=1_4_4__tab-Specials
Planet Zoo,"Management, Simulation, Building, Nature","₹ 2,149",-55%,₹ 967,https://store.steampowered.com/app/703080/Planet_Zoo/?snr=1_4_4__tab-Specials
