Game,Genre,price,Link
The Ascent,"Action, Cyberpunk, Top-Down Shooter, RPG","₹ 1,889",https://store.steampowered.com/app/1554790/Coloring_Game_4/?snr=1_4_4__145
New World,"Massively Multiplayer, Adventure, RPG, Action","₹ 1,499",https://store.steampowered.com/app/1494470/BUSTAFELLOWS/?snr=1_4_4__145
New World,"Massively Multiplayer, Adventure, RPG, Action","₹ 1,499",https://store.steampowered.com/app/1644150/OshiRabu_Waifus_Over_Husbandos_Loveordie/?snr=1_4_4__145
Mass Effect™ Legendary Edition,"RPG, Story Rich, Choices Matter, Sci-fi","₹ 2,999",https://store.steampowered.com/app/1075740/Banners_of_Ruin/?snr=1_4_4__145
Tribes of Midgard,"Action, Tower Defense, Roguelike, Indie",₹ 699,https://store.steampowered.com/app/979690/The_Ascent/?snr=1_4_4__145
Grand Theft Auto V: Premium Edition,"Action, Open World, Multiplayer, Adventure",₹ 976,https://store.steampowered.com/app/1358140/Cooking_Simulator_VR/?snr=1_4_4__145
FINAL FANTASY I-VI Bundle,"RPG, 2D, Exploration, JRPG","₹ 3,510",https://store.steampowered.com/app/1108590/Eldest_Souls/?snr=1_4_4__145
Battlefield 1 ™,"FPS, Multiplayer, World War I, Shooter",₹ 299,https://store.steampowered.com/app/337320/Paint_the_Town_Red/?snr=1_4_4__145
Orcs Must Die! 3,"Tower Defense, Strategy, Third-Person Shooter, Co-op",₹ 699,https://store.steampowered.com/app/1357860/Fuga_Melodies_of_Steel/?snr=1_4_4__145
Draw & Guess,"Casual, Multiplayer, Hand-drawn, Family Friendly",₹ 125,https://store.steampowered.com/app/969760/Omno/?snr=1_4_4__145
Starbase,"Massively Multiplayer, Simulation, Open World, Building",₹ 683,https://store.steampowered.com/app/814680/Unbound_Worlds_Apart/?snr=1_4_4__145
Mini Motorways,"Casual, Simulation, Strategy, Indie",₹ 349,https://store.steampowered.com/app/1173790/FINAL_FANTASY_III/?snr=1_4_4__145
Back 4 Blood,"Action, Zombies, Shooter, FPS","₹ 2,999",https://store.steampowered.com/app/1016800/Chernobylite/?snr=1_4_4__145
Chernobylite,"RPG, Survival, Post-apocalyptic, Adventure",₹ 629,https://store.steampowered.com/app/874260/The_Forgotten_City/?snr=1_4_4__145
PICO PARK,"Action, Casual, Multiplayer, Puzzle Platformer",₹ 199,https://store.steampowered.com/app/985810/GrandChase/?snr=1_4_4__145
ARK: Survival Evolved,"Open World Survival Craft, Survival, Open World, Multiplayer",₹ 230,https://store.steampowered.com/app/858820/Tribes_of_Midgard/?snr=1_4_4__145
PUBG: BATTLEGROUNDS,"Survival, Shooter, Multiplayer, Battle Royale",₹ 999,https://store.steampowered.com/app/1434950/HighFleet/?snr=1_4_4__145
Days Gone,"Open World, Post-apocalyptic, Zombies, Singleplayer","₹ 2,399",https://store.steampowered.com/app/686810/Hell_Let_Loose/?snr=1_4_4__145
It Takes Two,"Co-op, Adventure, Split Screen, Puzzle","₹ 2,499",https://store.steampowered.com/app/686810/Hell_Let_Loose/?snr=1_4_4__145
CS:GO Prime Status Upgrade,"FPS, Shooter, Multiplayer, Competitive","₹ 1,140",https://store.steampowered.com/app/597170/Clone_Drone_in_the_Danger_Zone/?snr=1_4_4__145
Phasmophobia,"Horror, Online Co-Op, Multiplayer, Psychological Horror",₹ 439,https://store.steampowered.com/app/1671600/Captain_Bones_Prologue/?snr=1_4_4__145
RimWorld - Ideology,"Strategy, Indie, Simulation, Colony Sim",₹ 529,https://store.steampowered.com/app/1522820/Orcs_Must_Die_3/?snr=1_4_4__145
STAR WARS™: The Old Republic™ - Cartel Coins,"Massively Multiplayer, MMORPG",₹ 249,https://store.steampowered.com/app/1295500/Warhammer_40000_Battlesector/?snr=1_4_4__145
STAR WARS™: The Old Republic™ - Cartel Coins,"Massively Multiplayer, MMORPG",₹ 249,https://store.steampowered.com/app/1659800/Sweet_House/?snr=1_4_4__145
STAR WARS™: The Old Republic™ - Cartel Coins,"Massively Multiplayer, MMORPG",₹ 249,https://store.steampowered.com/app/1392840/RimWorld__Ideology/?snr=1_4_4__145
STAR WARS™: The Old Republic™ - Cartel Coins,"Massively Multiplayer, MMORPG",₹ 249,https://store.steampowered.com/app/1127500/Mini_Motorways/?snr=1_4_4__145
STAR WARS™: The Old Republic™ - Cartel Coins,"Massively Multiplayer, MMORPG",₹ 249,https://store.steampowered.com/app/894020/Deaths_Door/?snr=1_4_4__145
STAR WARS™: The Old Republic™ - Cartel Coins,"Massively Multiplayer, MMORPG",₹ 249,https://store.steampowered.com/app/1134570/F1_2021/?snr=1_4_4__145
Sea of Thieves,"Adventure, Multiplayer, Open World, Pirates",₹ 899,https://store.steampowered.com/app/1593310/NEKOPARA__Catboys_Paradise/?snr=1_4_4__145
Rust,"Survival, Crafting, Multiplayer, Open World",₹ 899,https://store.steampowered.com/app/1601840/House_Builder_First_Job/?snr=1_4_4__145
