Game,Genre,price,Link
Coloring Game 4,"Free to Play, Indie, Casual, Design & Illustration",Free To Play,https://store.steampowered.com/app/1554790/Coloring_Game_4/?snr=1_4_4__145
BUSTAFELLOWS,"Otome, Visual Novel, Story Rich, Noir",₹ 809,https://store.steampowered.com/app/1494470/BUSTAFELLOWS/?snr=1_4_4__145
OshiRabu: Waifus Over Husbandos ~Love･or･die~,"Adventure, Visual Novel, Dating Sim, Choose Your Own Adventure",₹ 377,https://store.steampowered.com/app/1644150/OshiRabu_Waifus_Over_Husbandos_Loveordie/?snr=1_4_4__145
Banners of Ruin,"Roguelike Deckbuilder, Card Battler, Card Game, Difficult",₹ 423,https://store.steampowered.com/app/1075740/Banners_of_Ruin/?snr=1_4_4__145
The Ascent,"Action, Cyberpunk, Top-Down Shooter, RPG","₹ 1,889",https://store.steampowered.com/app/979690/The_Ascent/?snr=1_4_4__145
Cooking Simulator VR,"Simulation, Casual, VR, Physics",₹ 512,https://store.steampowered.com/app/1358140/Cooking_Simulator_VR/?snr=1_4_4__145
Eldest Souls,"Souls-like, Dark Fantasy, Action RPG, Singleplayer",₹ 449,https://store.steampowered.com/app/1108590/Eldest_Souls/?snr=1_4_4__145
Paint the Town Red,"Action, Gore, Blood, Fighting",₹ 396,https://store.steampowered.com/app/337320/Paint_the_Town_Red/?snr=1_4_4__145
Fuga: Melodies of Steel,"Dog, Anime, RPG, Cats",₹ 899,https://store.steampowered.com/app/1357860/Fuga_Melodies_of_Steel/?snr=1_4_4__145
Omno,"Adventure, Relaxing, Exploration, Casual",₹ 519,https://store.steampowered.com/app/969760/Omno/?snr=1_4_4__145
Unbound: Worlds Apart,"Adventure, Indie, Platformer, Atmospheric",₹ 449,https://store.steampowered.com/app/814680/Unbound_Worlds_Apart/?snr=1_4_4__145
FINAL FANTASY III,"RPG, JRPG, Singleplayer, 2D",₹ 680,https://store.steampowered.com/app/1173790/FINAL_FANTASY_III/?snr=1_4_4__145
Chernobylite,"RPG, Survival, Post-apocalyptic, Adventure",₹ 629,https://store.steampowered.com/app/1016800/Chernobylite/?snr=1_4_4__145
The Forgotten City,"Adventure, RPG, Indie, Exploration",₹ 512,https://store.steampowered.com/app/874260/The_Forgotten_City/?snr=1_4_4__145
GrandChase,"Action, PvP, PvE, Casual",Free To Play,https://store.steampowered.com/app/985810/GrandChase/?snr=1_4_4__145
Tribes of Midgard,"Action, Tower Defense, Roguelike, Indie",₹ 699,https://store.steampowered.com/app/858820/Tribes_of_Midgard/?snr=1_4_4__145
HighFleet,"Strategy, Action Roguelike, Sci-fi, Action-Adventure",₹ 629,https://store.steampowered.com/app/1434950/HighFleet/?snr=1_4_4__145
Hell Let Loose,"Action, Shooter, World War II, Multiplayer",₹ 899,https://store.steampowered.com/app/686810/Hell_Let_Loose/?snr=1_4_4__145
Hell Let Loose,"Action, Shooter, World War II, Multiplayer",₹ 899,https://store.steampowered.com/app/686810/Hell_Let_Loose/?snr=1_4_4__145
Clone Drone in the Danger Zone,"Robots, Action, 3D Fighter, Swordplay",₹ 449,https://store.steampowered.com/app/597170/Clone_Drone_in_the_Danger_Zone/?snr=1_4_4__145
Captain Bones: Prologue,"Survival, Crafting, Pirates, Open World",Free,https://store.steampowered.com/app/1671600/Captain_Bones_Prologue/?snr=1_4_4__145
Orcs Must Die! 3,"Tower Defense, Strategy, Third-Person Shooter, Co-op",₹ 699,https://store.steampowered.com/app/1522820/Orcs_Must_Die_3/?snr=1_4_4__145
"Warhammer 40,000: Battlesector","Strategy, Turn-Based Strategy, Warhammer 40K, Turn-Based Tactics",₹ 899,https://store.steampowered.com/app/1295500/Warhammer_40000_Battlesector/?snr=1_4_4__145
Sweet House,"Sexual Content, Nudity, Mature, Hentai",₹ 85,https://store.steampowered.com/app/1659800/Sweet_House/?snr=1_4_4__145
RimWorld - Ideology,"Strategy, Indie, Simulation, Colony Sim",₹ 529,https://store.steampowered.com/app/1392840/RimWorld__Ideology/?snr=1_4_4__145
Mini Motorways,"Casual, Simulation, Strategy, Indie",₹ 349,https://store.steampowered.com/app/1127500/Mini_Motorways/?snr=1_4_4__145
Death's Door,"Action, Adventure, RPG, Action RPG",₹ 699,https://store.steampowered.com/app/894020/Deaths_Door/?snr=1_4_4__145
F1® 2021,"Racing, Simulation, Sports, Driving","₹ 3,499",https://store.steampowered.com/app/1134570/F1_2021/?snr=1_4_4__145
NEKOPARA - Catboys Paradise,"Otome, Visual Novel, Anime, Female Protagonist",Free,https://store.steampowered.com/app/1593310/NEKOPARA__Catboys_Paradise/?snr=1_4_4__145
House Builder: First Job,"Exploration, Immersive Sim, Clicker, City Builder",Free To Play,https://store.steampowered.com/app/1601840/House_Builder_First_Job/?snr=1_4_4__145
